APFS Number,Description,Contract Status,Component
F2019047992,Provide spares to support the transfer of a 378' cutter to a foreign government.,NEW,USCG/CG-912
F2019047994,Provide Search and Rescue Optimal Planning System license to the government of Malaysia,NEW,USCG/CG-912
F2019047998,Provide Contractor Logistics Support Service to the government of Mexico,REC,USCG/CG-912
F2019048001,Provide boats to the government of Bangladesh,NEW,USCG/CG-912
F2019048002,Provide boats to the government of Tunisia,NEW,USCG/CG-912
F2019048003,Provide bridge simulator to the government of Tunisia,NEW,USCG/CG-912
F2019048007,The Contractor shall provide technical expertise and assist the CAMS PL in sustaining and improving the following fixed and mobile communications assets operated or used by the Communications Command (COMMCOM) to provide long range MF and HF communications for Search and Rescue and other U.S. Coast Guard Missions and provide critical services to the maritime public.  Period of Performance  6/15/2020 - 6/14/2025   (Base year + 4 Option years),REC,USCG/C4IT
F2019048013,"FY 2020 FORECAST - New buy; rescue hoist, NSN 3950-01-HS1-2918, P/N 42315-19, 3-5 EACH.",NEW,USCG/ALC
F2019048014,"FY 2020 forecast requirement; External Fuel Tanks; NSN 2915-01-HS2-8232, P/N HM043-010-31, 6 each; NSN 29150-1-HS2-8231, P/N HM043-610-11, 3 each.",NEW,USCG/ALC
F2019048020,"Technical support services for the United States Coast Guard's (USCG) Electronic Resource Proposal (eRP) system for the Program Review Division (CG-821). Support services include system maintenance, testing, documentation, programming, training assistance, modifications, and end user support.",REC,USCG/CG-912
F2019048021,This Requirement is for the goal of awarding a Requirements Contract for various EZ Loader trailer parts to support the USCG 20ABS and 26CBOTHIV boat trailers.The Coast Guard anticipates this to be awarded on a Brand Name basis.  ,NEW,USCG/SFLC
F2019048037,Procurement of Personal Radiation Detectors (PRD).,NEW,DHS HQ/CWMD
F2019048040,"This requirement is for the purchase of Pressurized Air Launching Systems and accessories for use by the Department of Homeland Security (DHS), Customs and Border Protection (CBP) for duty and training purposes.  ",NEW,CBP
F2019048046,"Coast Guard Cutter (CGC) STRATTON Dock Side (DS) Fiscal Quarter 4 (FQ4) Fiscal Year 2020 (FY20): Contractor will be required to perform dock side ship repair including welding, electrical, tank cleaning, ventilation cleaning/repair, steel work, equipment overhaul/repair, insulation renewal, deck preservation, and others in accordance with the Specifications (will be attached with the solicitation). Place of performance is the ship’s homeport located at Alameda, CA. Performance Period is from 02 July 2020 to 30 August 2020.",NEW,USCG/SFLC
F2019048058,"Pending the outcome of market research, the U.S. Coast Guard, Surface Forces Logistics Center (SFLC), Ice Breaker Buoy and Construction Tender Product Line intends to enter into a contract of other than full and open competition for one (1) year, with four (4) option years, for the purchase of new and remanufactured Fairbanks Morse engine parts for the 38 1/8 Opposed Piston Engines (OPEs) installed on the 378' WHEC and 140' WTGB cutters. ",REC,USCG/SFLC
F2019048059,"Pending the outcome of market research, the United States Coast Guard, Surface Forces Logistics Center, Ice Breaker Buoy and Construction Tender Product Line anticipates issuing a requirements type contract for the overhaul, storage, service, parts, and technical representative services for Model 1350 Azimuth Thrusters. The thrusters are installed the 175 ft Coastal Buoy Tenders.",REC,USCG/SFLC
F2019048061,"The purpose of this Web Content Manager Services is for the C3CEN, which utilizes a unique instance of Microsoft SharePoint called CGPORTAL for collaboration, information management, and communication. C3CEN needs contractor support to provide design, formatting, and updates for CGPORTAL and any future USCG web interfaces.",REC,USCG/C4IT
F2019048062,"USCIS Office of Security and Integrity (OSI) has a requirement to provide administrative, executive and technical support to OSI offices throughout the United States. The anticipated strategy is open-market, competitive 8(a).",REC,USCIS
F2019048063,"USCIS has a requirement to provide administrative, technical and executive support the Fraud Detection and National Security (FDNS) directorate in the Washington, DC metropolitan area. The contractor shall efficiently manage and coordinate, as well as assist with business functions required to support FDNS. Support will be provided to a spectrum of divisions which encompass a full range of functions that include employee service support, data entry, training programs, property inventory, communication activities, and ad hoc reporting. Anticipated strategy is to award a sole source 8(a) contract. As of initial posting, an 8(a) partner has not yet been identified.",REC,USCIS
F2019048066,"The United States Coast Guard (USCG) requires audit and Financial coordination support throughout the phases of the financial audit cycle as well as the pre-audit planning and assisting in the development of audit training material for the USCG staff.  Additionally, any Performance audits relating to the financial data and systems require audit coordination effort.  These audits shall be supported both concurrently and consecutively, required audit coordination to be a year around activity.  The Financial Reporting Coordination Team coordinates and processes Deliverable items requested by The Department of Homeland Security (DHS) and Deliverable items internal to the USCG.  There are established processes and procedures for Audit and Financial Reporting Coordination that The USCG has already put in place.",REC,USCG/CG-912
F2019048069,Provide RHIB spare parts to the government of Lebanon - Sole source to Willard Marine  ,NEW,USCG/CG-912
F2019048072,"Establish Requirements contract (1 base + 4 option years) with the goal of awarding a requirements contract for the repair of Furuno electronic systems, Furuno electronic systems (SINS I).",NEW,USCG/SFLC
F2019048079,C3CEN is seeking to replace NAIS's AIS Base Station. Program expects to procure QTY: 200+ Type Certified IEC 62320-1:2015 and ITU-R M.1371-5 AIS Base Stations with separate Transmit and Receive ports. Other related peripherals could include: - a compatible external amplifier with +9 dB gain and a saturation power of over 100 W.-Two way combiner divider -related Power supplies,NEW,USCG/C4IT
F2019048094,Provide decoy support for TSA K9,REC,TSA
F2019048099,Procure Naloxone for TSA K9 use,NEW,TSA
F2019048102,Procure Cameras for TSA K9 training and evaluations,NEW,TSA
F2019048104,"The purpose of this requirement is to obtain contractor support and disciplines to conduct analysis to ensure better accountability, consistency, and efficiency of statistical reports, briefing papers, and responses to requests from DHS, Congress, and the White House. Provide deployment support for ICE IT initiatives, operations research and strategic analytics, and business process analysis and transformation project support. Tasks focus on, but are not limited to, efforts designed to generate improvements in the immigration enforcement lifecycle.",REC,ICE/ERO
F2019048106,Provide training to the government of Tunisia,NEW,USCG/CG-912
F2019048109,"The U.S. Coast Guard Aviation Logistics Center utilizes IBM Cognos software licensing and support products to maintain the Electronic Asset Logbook (EAL) and the Decision Support System (DSS) portions of Asset Logistics Management Information System (ALMIS).  As a fully operational steady-state system, ALMIS provides efficient, flexible, and cost-effective operations, logistics, and maintenance support to aviation units.  ",REC,USCG/ALC
F2019048110,"The Surface Forces Logistics Center Small Boat Product Line is responsible for maintaining the quantity of 26 49' BUSL's, 90 26' TANBS, 109 47' MLB's and 109 45' RBM's. The boats have fenders installed around the exterior of the hull to prevent damage when the boat is coming alongside another boat, pier or object. The intention is to award a contract for parts replenishment. The contract will consist of one base year and four option years and shall be negotiated only with the Original Equipment Manufacturer Duramax Marine LLC.",REC,USCG/SFLC
F2019048111,Statistical Analysis Software (SAS) Subscription Renewal,NEW,USCG/ALC
F2019048112,the repair of the NSC RFDS system and parts purchase Harris parts purchase and repair support requirement,NEW,USCG/SFLC
F2019048113,"Requirements are for an existing server-based, Commercially Available Non-Development Item (CANDI) service, using a pre-defined software platform that describes optimal ordering quantities for selected parts within the Coast Guard Inventory and Logistics world of work. The software platform which will be used has been designated as PTC Parts Version 7.7 (or higher).  The host system will be owned and operated by the contractor, and will interface with the existing Coast Guard Data Warehouse to gather raw inventory data, process historical demand data, and provide recommended buy levels and timing information for use by Coast Guard professionals. The service will include both consumable and repairable (rotable) parts (henceforth  'service parts'), and will be instrumental in maximizing Coast Guard part availability while reducing both inventory costs and depot Maintenance, Repair, and Overhaul (MRO) costs.",REC,USCG/ALC
F2019048117,Provide spare parts for a 110-foot Island class USCG cutter to a foreign country through a Foreign Military Sales case. ,NEW,USCG/CG-912
F2019048133,Provide spares for 378-foot cutter transferred to a foreign country under Foreign Military Sales. ,NEW,USCG/CG-912
F2019048146,"ALC is the Coast Guard Aviation’s leader providing mission critical overhaul and repair services for aircraft and aircraft components serving 26 Coast Guard aviation units that operate approximately 200 aircraft. To accomplish this effort we are reliant on contractor support to meet the needs of our customers. ALC requires contractor support to provide administrative/supply support in various positions throughout the command. The successful contractor will furnish personnel who will be subject to the Service Contract Act in the following Department of Labor Categories: Administrative Assistants, General Clerk IIIs, Material Coordinators and Supply Technicians. These personnel will provide administrative or supply support services in various product lines and divisions across ALC.",REC,USCG/ALC
F2019048147,Actian Ingres Software Renewal,NEW,USCG/ALC
F2019048149,"This requirement will be solicited through GSA Connections II contract holders as a full and open requirement. Subject to Availability of Funds.  As of now, Hurricane Dorian crossed over US Virgin Islands and Puerto Rico last night as a category 1. Hurricane Dorian is tracking towards central Florida with forecasts projections of a category 3 by landfall on Monday;  with effects potentially starting as early as Saturday.  Hurricane Dorian will begin to intensify as early as Friday morning.  In order for the humanitarian effort to continue and for the Federal Emergency Management Agency (FEMA) to be successful and to accomplish its mission there is an additional need. FEMA needs a contractor to help augment its already burden and exhausted capabilities.  The contractor shall respond to the immediate crisis caused by imminent activity on behalf of FEMA. The contractor shall provide and maintain turnkey service, which includes but is not limited to 5000 temporary turnkey support staff to perform the call center supported registration process, Automated Data Processing (ADP) and telecom equipment and network services, including call processing equipment, and facilities and network services for the purpose of responding to incoming calls and accepting applications for disaster assistance. All facilities provided shall conform to the requirements set forth in the base contract and must be located within the contiguous 48 states.",NEW,FEMA
F2019048151,"Provide security engnieering services that will protect U.S. Citizenship and Immigration Services (USCIS) IT infrastructure and resources, IT systems and the information used in the various environments against cybersecurity threats. The anticipated strategy is 8(a) STARS II. ",REC,USCIS
F2019048162,"U. S. Coast Guard Surface Forces Logistics Center Long Range Enforcer Product Line (SFLC LREPL) has a requirement to, procure two (2) self-cleaning type sea strainers for future installation aboard U.S. Coast Guard Cutter (USCGC) HEALY, a 420' WAGB Class Cutter. This procurement is for the purchase of fully assembled self cleaning type sea strainers only. Self cleaning type sea strainers shall be provided as Government Furnished Equipment (GFE) for future installation aboard USCGC HEALY during a scheduled FY21 or FY22 maintenance availability period.",NEW,USCG/SFLC
F2019048171,"Application CI/CD and Dependency Scanning Tool (Nexus Repository, Nexus Firewall, Nexus Lifecycle) 70 for SF, 65 for TIM, 70 for TVS, 35 for CSG, Server With Extended Support for STAMPOption for 10 licenses",NEW,TSA
F2019048184,"FIMA requires contractor support services for the continuation of the development and implementation of FIMA Strategic Plans, business process management and improvement models, and human capital and business transformation solutions. The scope also includes support necessary to improve overall reporting and internal communications, policy and budget reviews, performance assessments, and organizational and business operations for FIMA. Required support services include: 1. Strategy Plan Development and Implementation 2. Organization Design and Development 3. Business Process Management and Improvement 4. Talent Management/Human Capital Assessment and Development 5. Leadership Development and Executive Coaching 6. Change Management 7. Regional Management and Coordination 8. Planning,Programming, Budgeting, and Execution (PPBE) 9. Business Operations Data Analysis 10. Meeting Facilitation Assistance to include meeting planning,preparation, (facilitation, documentation or note taking, presentation preparation assistance",REC,FEMA
F2019048186,"Program management and technical support services to CWMD - Operations Support DirectorateThe purpose of this effort is to provide technical, programmatic, training and exercise, medical operations, and information coordination support services to the Countering Weapons of Mass Destruction (CWMD), Operations Support Directorate (OSD) in order to enhance the nation’s abilities to prevent terrorists and other threat actors from using weapons of mass destruction and support operational partners in closing capability gaps along adversary pathways. The OSD contract will provide support to CWMD activities responsible for addressing key mission areas to include, Program Support, Training and Exercise Support, Current Operations, Field Operation, Medical Support, and Requirements Generation. Planned Strategic Source Vehicle: OASIS POOL 1, Unrestricted with small business subcontracting goals. Draft RFP to be released on or about 9/17/2019.  There will be no industry day.Estimated milestones are provided for planning purposes and may be subject to change. 9/17/19 -Estimated release of draft RFP11/22/19-Estimated release of official RFP12/20/19- Estimated proposal due date 3/17/20-Estimated task order award.",REC,DHS HQ
F2019048188,"The project entails lead paint abatement and removal of stucco exterior including windows and roofing materials.  The following work is to make repairs to the building envelope, reside with Hardy Board type planking, and replace with new windows and roofing. The project also includes minor modifications to the front entry and enclosing surface mounted cabling.",NEW,USCG/SILC-Const.
F2019048196,"U.S. Citizenship and Immigration Services (USCIS) has a need for Development, Security & Operations (DevSecOps) teams to focus on user design, development, IT operations and security. Market research and acquisition planning is on-going. At time of posting, USCIS is anticipating release of one solicitation under CIO-SP3 Small Business for award of multiple task orders to support this requirement. SPEED is a combination of the existing JETS - Benefits and JETS - Customer Service task orders. This record will be updated as more information is available. ",REC,USCIS
F2019048210,To provide a  projected forecasted budget for cleaning contract of a federal base. To assist in projections if current contract remains.,REC,USCG/SILC-Base
F2019048272,"Upgrade the current simulation laboratory system and revise personal computer (PC) based Simulations (Job Aids) for Command and Control Curriculum to enhance the ability to conduct dynamic, immersive, flexible, and more complex simulation demonstrations.  These complex simulation exercises will better prepare incident commanders to meet the many challenges of fire emergency. The system is currently being integrated into other curriculum areas such as Safety, Arson, Fire Prevention, Risk Reduction and Leadership. The upgrade will also allow for a user configurable environment that supports all hazards, comprehensive training. Upon implementing the upgrade, the NFA will massively enhance its ability to incorporate numerous activities such as structure collapse, “mayday” incidents, floods, mass casualty, complex coordinated attack and active shooter.",NEW,FEMA
F2019048285,"CGA, NEW LONDON COUNTY, CT (PSN: 60-D00038) Northeast stairwell at end of Yeaton has water intrusion just above 3rd floor.  Exterior needs to be repointed prior to repairing the masonry and replastering the interior stairwell.Inspect and repair and re-point exterior masonry at stair from grade to roof eave.  Remove and replace individual cracked brick.  Remove and replace brick above openings (8 locations), repair lintels, and provide new flashing with end dams.  Remove and reinstall existing window sills, provide new flashing below sills (7 locations).  Remove and replace interior plaster walls, prep, prime, and paint walls and ceiling in stair tower. ",NEW,USCG/CG-912
F2019048307,"The U.S. Coast Guard Rescue 21 Command, Control, Communications Center(C3CEN) Detachment Alaska (R21 DD C3CEN) has a need to obtain “call when needed” helicopter services for the transportation of personnel, equipment and supplies in the Ketchikan area, Juneau area, Anchorage area, and Kodiak area. Up to four contracts will be awarded under this solicitation.",NEW,USCG/C4IT
F2019048310,"New Grounds Maintenance Contract for the US Coast Guard Sector New York at Ft. Wadsworth Staten Island, Battery Park Building in lower Manhattan, and Station New York in Rosebank near the Fort. Contract will provide Grounds Maintenance for ~75 acres of land alongside providing snow removal services when needed for ~ 550k-sqft of hard surfaces. ",NEW,USCG/SILC-Base
F2019048311,"Grounds services are required for the Miami Air & Marine Branch located in Homestead, FL.  These services are intended to support the facility services at Miami AMB to include, but not limited to, grounds cleaning, mowing, edging, weed control, fertilizing, and watering.",REC,CBP
F2019048320,"This requirement is for the grounds services at the St. Augustine National Marine Center in Florida.  These services are intended to support the facility services at the NMC to include, but not limited to, grounds cleaning, mowing, edging, weed control, fertilizing and watering.  ",REC,CBP
F2019048326,The National Security Cutter Program Management Office (CG-9321) has a requirement to purchase spare parts for the SRC-67 High Frequency Transceiver System (HFTS). The HFTS is a long range communication the NSC uses for both voice and data. The Original Equipment Manufacturer of these parts is Rhode & Schwartz. The PMO has tasked the Asset Project Office with the acquiring parts to support all versions of the HFTS. ,NEW,USCG/CG-912
F2019048340,A solicitation is planned to be released in December 2019 by the Department of Homeland Security Science and Technology Directorate & Countering Weapons of Mass Destruction Office resulting in the award of Phase I contracts. All small businesses awarded a Phase I contract originating from this solicitation are eligible to submit a Phase II proposal. Successful Phase II proposals may lead to Phase III awards.,NEW,DHS HQ/CWMD
F2019048349,"Mobius: Support and Enhancements, including automation of TRM, modernization, open source, cloud, and automation of data ingestion. This requirement will be provided under the existing DHS OCIO ADaPTS BPA.  ",REC,DHS HQ/MGMT
F2019048352,"The Contractor shall provide all required resources and technical support services in accordance with the Government’s requirements, per the methodology and technology specified by the Government, within the scope of this Statement of Work (SOW).  The Contractor shall provide overall support to the OCTO with specific efforts for Development, Security and Operations (DevSecOps) and Agile acquisition services, front office operations and technical engineering solutions that will support the OCTO mission space providing superior performance, significant operational improvements, and notable innovation to support current and future mission. The contractor shall comply with all DHS standards and regulations including, but not limited to, those for development, performance, testing, project management, operations support, security, architecture, and 508 Accessibility. This requirement will be competitively processed and awarded under the existing ADaPTS BPA.  ",REC,DHS HQ/MGMT
F2019048383,"The US Customs and Border Protection, United States Border Patrol (USBP) and the Office of Field Operations (OFO) across the United States Southwest Border Area of Operations (SWB AOR), have a requirement for prepackaged meal delivery for detainees held in temporary custody. This action will establish a Multi-Award Blanket Purchase Agreement (BPA), to service the below listed USBP Sectors and OFO Field Offices. Prospective Offerors shall be allowed to propose to all or just some locations, and all or just some requirements. The purpose of this procurement action is to establish 5-year agreement(s) with multiple vendors to become a one-stop shopping tool for the provision of detainee meals. Most locations required up to 900 meals per day (300 breakfast, lunch and dinner), but requirements shall vary, with contracts and purchase card orders to be placed against the established BPAs. The following USBP Sectors and OFO Field Offices shall be included in this requirement:(1) San Diego Sector and San Diego Field Office, (2) El Centro Sector, (3) Yuma Sector, (4) Tucson Sector and Tucson Field Office, (5) El Paso Sector and El Paso Field Office, (6) Marfa Sector, (7) Del Rio Sector, (8) Laredo Sector and Laredo Field Office, and (9) Rio Grande Valley Sector.",NEW,CBP
F2019048390,"FEMA/FIMA Federal Insurance Directorate (FID) requires a Contractor to provide program management, data analytics, operations, development, maintenance and support services for the Pivot system, which services as the National Flood Insurance Program's (NFIP) System of Record (SOR), as well as other affiliated applications in support of the NFIP, including but not limited to the NFIP Community Information System (CIS).",NEW,FEMA
F2019048401,"CWMD requires a contractor and/or team that can conduct RPM site assessments, produce designs, coordinate and provide designs to other design firms, install RPMs, construct infrastructure, install/commission ancillary equipment, provide site management, and document the system configuration management for the multiple RPM deployment locations in the U.S. and its territories, and in foreign countries (Pre-clearance sites).  An optional CLIN for logistics addresses the warehousing, shipping, testing, calibration, and other necessary RPM logistical elements.  ",REC,DHS HQ/CWMD
F2019048402,"CWMD continually assesses, develops, and procures radiation detection equipment for deployment by Federal, State, Local, Territorial and Tribal agencies to enhance the nation’s ability to detect and prevent terrorists and other threat actors use of radiological and nuclear materials.  CWMD has a requirement to procure Personal Radiation Detectors (PRD) over the next 10 years in support of State, Local, Tribal, and Territorial agencies.",NEW,DHS HQ/CWMD
F2019048408,"The contractor shall perform services that directly apply to NPWS/PEP Sustainment, PEP Station Modernization, PEP Station Decommissioning, NPWS/PEP Station Construction, Environmental and Historic Preservation and IPAWS/NPWS Laboratory support at locations across the U.S. States, U.S. Territories and OCONUS. The contractor shall perform work concurrently at multiple locations throughout the life of the contract. The contractor shall provide services to the IPAWS Program for sustaining NPWS/PEP capabilities, maintaining and repairing NPWS/PEP Station equipment and operations when they are damaged or otherwise unavailable, modernizing existing NPWS/PEP Station facilities and equipment, and supporting environmental and historic preservation related to the modernization, construction, decommissioning, or sustainment activities. The contractor shall manage, and coordinate maintenance, modification, upgrades, purchase, and replacement of facilities and equipment related to the tasks and shall manage support activities related to the IPAWS/NPWS Laboratory. In addition, the contractor shall manage a Configuration Management Database (CMD) (as referenced in Section 5.2.1), manage fuel replenishment, shelter rations, emergency equipment repairs, fuel system monitoring, and manage related permits, registration documents, and fees. Furthermore, the contractor shall manage High-Altitude Electromagnetic Pulse (HEMP) shielding effectiveness testing and maintenance, support operational exercises and testing, and provide operator and maintenance training as required. The contractor shall promote private sector radio station participation in the NPWS by facilitating discussions and meetings between station owners/participants and FEMA.",REC,FEMA
F2019048475,"The IT Technology Solutions Division has  a requirement for continuous operations and maintenance support of it mission essential systems. This support shall include innovation of new technologies and process, in addition to ensuring the highest security posture of various HIGH availability systems. ",REC,TSA
F2019048494,"Establish a base plus option year contract for:  80 Gallon JAYCEF Fuel Tank, NSN 2915-01-HS2-8231, P/N HM043-610-11, EST ANNUAL DEMAND 2 Each; 120 Gallon SEACEF Fuel Tank, NSN 2915-01-HS2-8232, P/N HM043-010-31, EST ANNUAL DEMAND 4 Each; 80 Gallon Fuel Tank, NSN 1560-01-HS1-0570, P/N 70307-82220-042, EST ANNUAL DEMAND 2 Each; 120 Gallon Fuel Tank, NSN 1560-01-374-6481, P/N 70307-82000-057, EST ANNUAL DEMAND 4 Each.",NEW,USCG/ALC
F2019048497,"The Coast Guard has a requirement to store two (02) 20V1163TB93 MTU Diesel Main Propulsion Engines used on the 418 ft WMSL National Security Cutters. This requirement includes the two diesel engines, reusable shipping containers, storage in a controlled environment, and all maintenance required to insure the manufactures warranty remains valid. Based on market research, the CG anticipates a sole source award to MTU America, Inc. ",NEW,USCG/SFLC
F2019048503,"The Transportation Security Administration (TSA) requires contracted Airport Security Screening Services and required deliverables at San Francisco International Airport (SFO), California.  Services shall be provided in accordance with law, TSA screening guidelines, and contractual terms and conditions.  Airport security screening services under this task order contract encompasses the principle requirements to provide security screening of passengers and baggage at the airport, and to ensure the security of the sterile environment.  Airport security screening services required under the contract also include related screening support services, security training, the provision of contracted deliverables and specified personnel and contract management functions in order to meet the full scope of requirements under the contract. The TO is under an IDIQ.  ",REC,TSA
F2019048504,"The Transportation Security Administration (TSA) requires contracted Airport Security Screening Services and required deliverables at Charles M. Schulz Sonoma County Airport (STS), California.  Services shall be provided in accordance with law, TSA screening guidelines, and contractual terms and conditions.  Airport security screening services under this task order contract encompasses the principle requirements to provide security screening of passengers and baggage at the airport, and to ensure the security of the sterile environment.  Airport security screening services required under the contract also include related screening support services, security training, the provision of contracted deliverables and specified personnel and contract management functions in order to meet the full scope of requirements under the contract. The TO is under an IDIQ.  ",REC,TSA
F2019048506,"In accordance with the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act, Section 425 of the Robert T. Stafford Disaster Relief and Emergency Assistance Act (Stafford Act) and corresponding regulations at 42 U.S.C. 5189c.  ",REC,FEMA
F2019048522,Public Fire Education and Awareness  - promote public awareness and education of fire and life safety issues through traditional delivery methods and digital information channels.,REC,FEMA
F2019048534,To provide janitorial services and grounds maintenance to all buildings located at 1 Washington Ave Philadelphia PA 19147.  A total of 2 buildings and common area's outside of two buildings.,NEW,USCG/SILC-Base
F2020048541,A 5 year follow on repair contract for the MX-20 Turret and associated components.,REC,USCG/ALC
F2020048542,FY 20 - PR 20114574,REC,CBP/OIT
F2020048548,"This procurement will serve to purchase the maintenance and support for Veritas Net Back up and the eDiscovery Platform (Clearwell), and Veritas Storage Foundation.",NEW,CBP/OIT
F2020048551,Splunk Software.  ,NEW,CBP/OIT
F2020048567,All aircraft gaskets shall be ready for issue upon receipt at the destination.,REC,USCG/ALC
F2020048572,"Provide housekeeping services for a 5 building lodge with 252 resident rooms, multiple flex space rooms along with all common areas. ",NEW,CBP/OTD
F2020048573,"Provide 2 licensed security maintenance contractors to work on all security systems, equipment repair and replacement. ",REC,CBP/OTD
F2020048576,"The Contractor shall provide management, supervision, labor, materials, equipment, and supplies and shall be responsible for the efficient, effective, economical, and satisfactory operation, scheduled and unscheduled maintenance, repair of facilities equipment and systems, including fire protection and life safety systems, vertical transportation, pest control, trash removal, air quality control permits, hazardous waste, telephone communications/programming, security and surveillance systems, welding, maintenance of a recycling program and all related services located within the property line of the El Centro Service Processing Center in accordance with the Performance Based Work Statement (PWS).",NEW,ICE/CFO
F2020048581,"The scope of this acquisition will be focused on the four objectives listed below: Objective 1 – Database code deployment and integration Objective 2 - Application development and integration Objective 3 - Operational engineering technical services support Objective 4 - IT Project Management Additionally, the contractor shall manage, track, consolidate, and report budgets and costs associated with the all the SOO objectives.",REC,FEMA
F2020048584,"The Contractor shall provide management, supervision, labor, materials, equipment, and supplies and shall be responsible for the efficient, effective, economical, and satisfactory operation of scheduled and unscheduled cleaning of facilities buildings, walkways, parking lots, and maintain the associated grounds and landscape situated on the site to present a clean, neat, and professional appearance with healthy trees, shrubs, and plants and all related services located within the property line of the El Centro Service Processing Center in accordance with the Performance Based Work Statement (PWS).",REC,ICE/CFO
F2020048595,"PSN 13468647: Housing Market Survey and Analysis FY20.  Conduct HMSAs in various locations to investigate and forecast the balance between available affordable, adequate private sector rental housing and the USCG housing demand.",NEW,USCG/SILC-Const.
F2020048597,"PSN: 9052384 -   Install a new ADA concrete ramp, new awning canopy and replace the deteriorating doors, doorframes and hardware of the Johnson Hall building.",NEW,USCG/CG-912
F2020048600,Purchase Self-Locating Data Marking Buoys (SLDMBs),REC,USCG/ALC
F2020048602,"Contractor support required to provide medical, psychological, fitness, and drug testing services for ICE applicants and existing employees. ",REC,ICE/AS
F2020048604,The principal objective of this Task Order is for the Contractor to assist the U.S. Coast Guard (USCG) with updating site information to allow the USCG to meet its ECR Project ELE and reporting obligations under the Chief Financial Officers (CFO) Act and receive a clean audit with regards to environmental liabilities associated with USCG environmental compliance and restoration projects.  The current project backlog currently numbers at approximately 220 projects. This task order is only open to holders of the 2018 USCG AE MATOC Contract,NEW,USCG/SILC-Const.
F2020048605,"CBP seeks a Contractor who shall directly provide a full scope of targeted marketing communication services.  The BPA will be awarded and task orders issued against it as work and funding becomes available.  The task orders shall be firm fixed price for labor and other direct costs.  The media buys and travel costs shall be direct pass through, not to exceed approved amounts.  CBP seeks a response that demonstrates the responder’s direct ability as the prime provider to deliver integrated marketing and communication solutions across various media channels; provide performance metrics that demonstrate goal achievement, and a quality assurance plan.For this requirement, the SIN: 541 5; NAICS 541613 Integrated Marketing Services and Product Service Code (PSC) R701 Support- Management: Advertising. ",REC,CBP/OPA
F2020048622,"Background:  Congress enacted Public Law 107-67, Sec. 630, on November 12, 2001. This permits Federal agencies to administer a program to assist their lower income Federal employees with the cost of child care. Child care subsidy can reduce the amount of costs parents pay for child care by providing subsidies directly to the child care provider. Scope :  The United States Secret Service (USSS) requires a Contractor to effectively administer the USSS's Child Care Subsidy Program. The  Contractor shall  process Child Care Subsidy Program applications and make recommendation of eligibility and subsidy amount based on the Child Care Subsidy guidelines established by the USSS.  Provide USSS employees with Child Care Subsidy Program Forms, to include, but not limited to, OPM 1643 and OPM 1644. and shall have the capacity to receive completed applications electronically on a secure network. The Contractor shall also determine the eligibility of child care providers and make a recommendation to receive Federal funds. ",REC,USSS
F2020048634,"The Federal Emergency Management Agency (FEMA) requires a Budgeting system that supports the Planning, Programming, Budgeting, and Execution (PPBE) framework. FEMA seeks Software as a Service (SaaS) which has the capability to import financial execution data to modernize our existing manual processes. The high-level goals of this system are intended to improve the speed and accuracy of producing multi-year funding plans, planning and fiscal guidance, required documents, tracking progress, measuring results, and comprehensive reporting to ensure overall accountability throughout the PPBE process.FEMA FSM anticipates issuing a single-award BPA under GSA Schedule 70.",NEW,FEMA
F2020048635,"Provide services to install equipment, remove equipment, and complete engineering drawings associated with R21 AK.",NEW,USCG/C4IT
F2020048641,"The primary objective of this Industry Studies effort is to analyze and assess the technical effort, cost and schedule risks associated with re-competing the Offshore Patrol Cutter (OPC) contract for completing the OPC design and constructing up to 21 OPCs.",NEW,USCG/CG-912
F2020048646,"210/270 Oil Content Meter Calibration. The requirement for the contractor to test and calibrate the Oil Content Meter (OCM) for the Oily Water Separator System. Contractor shall accomplish a test run of the OCM 321-30670-02 IAW TP04404, Section B and shall inspect, accurately adjust and test in accordance with TP 4404, Section C. Contractor shall perform calibration testing IAC MEPC.107(49), Annex Part 2. Condition found reports shall be forwarded to the contracting office. ",NEW,USCG/SFLC
F2020048647,"The objective of this base + options contract is to provide contractor support to the ERO/DSCU for administering and conducting the DCMP. Specifically, the objective is to provide contractor support to ERO/DSCU for the annual, per-occupancy, and special assessment inspections of designated detention facilities throughout the United States and territories to ascertain NDS/PBNDS compliance. The contractor provides Compliance Inspection Teams (CIT) for annual, pre-occupancy, and special assessments inspections at detention facilities. Each CIT inspection shall assess the detention facility status for compliance with all applicable ICE Detention Standards and provide an inspection report on ICE designated forms",REC,ICE/ERO
F2020048656,"The United States Coast Guard (USCG), Aviation Logistics Center (ALC) located in Elizabeth City, North Carolina has a follow-on requirement for wire-harness support services across all USCG platforms (MH65, MH60, HC130, HC-27J and HC144 aircraft).  This requirement includes support services to modify, manufacture, and repair electrical harnesses and subassemblies in support of USCG aircraft.  ",REC,USCG/ALC
F2020048664,"A requirement exists for the repair of Main Rotor Blades, P/N 366A11-0010-00 through -07 and associated Tip Caps, P/N 366A11-5030-03 utilized on the USCG MH65 SRR Helicopters. It is anticipated that all of the aircraft parts listed on the upcoming schedule will be competed on a non-competitive, sole source base plus four basis to Airbus Helicopters, Inc., Cage Code 3GSZ1.",NEW,USCG/ALC
